date,Actual,Predicted,Difference
2024-08-01,378800,380064.69,-1264.6900000000023
2024-08-01,314300,314449.61,-149.60999999998603
2024-08-01,268400,265956.55,2443.4500000000116
2024-08-01,209600,210236.0,-636.0
2024-08-01,324900,324606.51,293.4899999999907
2024-08-01,890100,874151.84,15948.160000000033
2024-08-01,190800,192887.33,-2087.329999999987
2024-08-01,183700,183860.8,-160.79999999998836
2024-08-01,512000,513064.81,-1064.8099999999977
2024-08-01,572200,576797.31,-4597.310000000056
2024-08-01,507800,487003.33,20796.669999999984
2024-08-01,515900,504730.67,11169.330000000016
2024-08-01,412500,416509.47,-4009.469999999972
2024-08-01,458700,453768.67,4931.330000000016
2024-08-01,327900,326141.17,1758.8300000000163
2024-08-01,285700,287520.33,-1820.3300000000163
2024-08-01,342200,340484.52,1715.4799999999814
2024-08-01,400600,401350.72,-750.7199999999721
2024-08-01,983900,946724.67,37175.32999999996
2024-08-01,296800,294482.33,2317.6699999999837
2024-08-01,385600,385014.32,585.679999999993
2024-08-01,354700,355075.28,-375.28000000002794
2024-08-01,541300,540529.75,770.25
2024-08-01,372700,373213.63,-513.6300000000047
2024-08-01,412000,405123.82,6876.179999999993
2024-08-01,527800,521371.26,6428.739999999991
2024-08-01,684000,665050.21,18949.790000000037
2024-08-01,194000,195123.28,-1123.2799999999988
2024-08-01,264200,263952.34,247.6599999999744
2024-08-01,358100,360154.67,-2054.6699999999837
2024-08-01,370900,369315.33,1584.6699999999837
2024-08-01,441400,440385.07,1014.929999999993
2024-08-01,668800,662002.53,6797.469999999972
2024-08-01,302700,302565.63,134.36999999999534
2024-08-01,850200,834932.33,15267.670000000042
2024-08-01,310200,321856.67,-11656.669999999984
2024-08-01,547500,546210.17,1289.829999999958
2024-08-01,340900,338016.33,2883.6699999999837
2024-08-01,278400,277896.33,503.6699999999837
2024-08-01,310800,309995.89,804.109999999986
2024-08-01,301900,302662.37,-762.3699999999953
2024-08-01,284200,285279.22,-1079.219999999972
2024-08-01,1027100,1007863.09,19236.910000000033
2024-08-01,336800,337845.52,-1045.5200000000186
2024-08-01,521700,518331.89,3368.109999999986
2024-08-01,352300,352220.0,80.0
2024-08-01,300500,303536.33,-3036.3300000000163
2024-08-01,339800,339368.01,431.9899999999907
2024-08-01,645600,646067.08,-467.0799999999581
2024-08-01,250800,250066.85,733.1499999999942
2024-08-01,590200,586179.32,4020.680000000051
2024-08-01,382300,374498.67,7801.330000000016
2024-08-01,252400,252605.33,-205.3299999999872
2024-08-01,317900,319506.0,-1606.0
2024-08-01,321900,322209.67,-309.6699999999837
2024-08-01,365700,365133.87,566.1300000000047
2024-08-01,207600,208705.67,-1105.6700000000128
2024-08-01,237100,238780.33,-1680.3299999999872
2024-08-01,410000,411079.91,-1079.9099999999744
2024-08-01,286200,284515.68,1684.320000000007
2024-08-01,345700,346626.96,-926.960000000021
2024-08-01,359600,364226.67,-4626.669999999984
2024-08-01,270100,268887.0,1213.0
2024-08-01,347900,349179.38,-1279.3800000000047
2024-08-01,450600,451078.01,-478.0100000000093
2024-08-01,498800,500905.6,-2105.5999999999767
2024-08-01,548100,545261.64,2838.359999999986
2024-08-01,305900,304864.26,1035.7399999999907
2024-08-01,354700,354264.81,435.1900000000023
2024-08-01,382000,382379.75,-379.75
2024-08-01,190000,189176.02,823.9800000000105
2024-08-01,279400,279446.32,-46.320000000006985
2024-08-01,449900,454974.0,-5074.0
2024-08-01,629600,624242.69,5357.310000000056
2024-08-01,339200,341877.0,-2677.0
2024-08-01,396500,397381.67,-881.6699999999837
2024-08-01,257500,257218.27,281.7300000000105
2024-08-01,448700,448659.08,40.9199999999837
2024-08-01,436500,437657.69,-1157.6900000000023
2024-08-01,524500,521487.04,3012.960000000021
2024-08-01,245700,295687.33,-49987.330000000016
2024-08-01,385100,381895.53,3204.469999999972
2024-08-01,465700,465420.89,279.10999999998603
2024-08-01,590000,603914.33,-13914.329999999958
2024-08-01,230800,230155.89,644.109999999986
2024-08-01,264100,264038.48,61.52000000001863
2024-08-01,191000,191073.42,-73.4200000000128
2024-08-01,498400,495738.0,2662.0
2024-08-01,430700,433537.33,-2837.3300000000163
2024-08-01,243800,244195.22,-395.22000000000116
2024-08-01,112400,112277.0,123.0
2024-08-01,271200,270030.67,1169.3300000000163
2024-08-01,401300,409473.0,-8173.0
2024-08-01,275800,276097.33,-297.3300000000163
2024-08-01,422600,427494.45,-4894.450000000012
2024-08-01,220500,219920.97,579.0299999999988
2024-08-01,255500,255138.24,361.7600000000093
2024-08-01,257600,257282.1,317.8999999999942
2024-08-01,456900,455852.83,1047.1699999999837
2024-08-01,274300,275343.43,-1043.429999999993
2024-08-01,817200,823222.07,-6022.069999999949
2024-08-01,411200,415589.81,-4389.809999999998
2024-08-01,326700,325590.29,1109.710000000021
2024-08-01,644400,641862.51,2537.4899999999907
2024-08-01,270000,273407.33,-3407.3300000000163
2024-08-01,301300,299197.67,2102.3300000000163
2024-08-01,209200,209586.75,-386.75
2024-08-01,72300,72764.33,-464.33000000000175
2024-08-01,252200,252154.05,45.95000000001164
2024-08-01,385900,386777.25,-877.25
2024-08-01,450700,449777.83,922.1699999999837
2024-08-01,479000,473439.67,5560.330000000016
2024-08-01,435600,439133.66,-3533.6599999999744
2024-08-01,488400,486968.89,1431.109999999986
2024-08-01,271800,272406.99,-606.9899999999907
2024-08-01,414900,415232.95,-332.95000000001164
2024-08-01,255900,257545.11,-1645.109999999986
2024-08-01,663300,657507.09,5792.910000000033
2024-08-01,845700,842434.33,3265.670000000042
2024-08-01,375500,374785.89,714.109999999986
2024-08-01,328600,328599.11,0.8900000000139698
2024-08-01,268600,272626.36,-4026.359999999986
2024-08-01,266500,265675.41,824.5900000000256
2024-08-01,503400,501500.07,1899.929999999993
2024-08-01,273100,271717.33,1382.6699999999837
2024-08-01,139700,142691.67,-2991.670000000013
2024-08-01,356800,357114.5,-314.5
2024-08-01,290400,289473.21,926.789999999979
2024-08-01,212100,212628.27,-528.2699999999895
2024-08-01,282100,281278.69,821.3099999999977
2024-08-01,254900,254747.04,152.95999999999185
2024-08-01,671300,665320.66,5979.339999999967
