date,median_sale_price
2024-02-01,361700
2024-02-01,926300
2024-02-01,257500
2024-02-01,308000
2024-02-01,647200
2024-02-01,341000
2024-02-01,552700
2024-02-01,245200
2024-02-01,566500
2024-02-01,204500
2024-02-01,253700
2024-02-01,368600
2024-02-01,226700
2024-02-01,222700
2024-02-01,153300
2024-02-01,313100
2024-02-01,209400
2024-02-01,368500
2024-02-01,570500
2024-02-01,216300
2024-02-01,370500
2024-02-01,567300
2024-02-01,1031700
2024-02-01,591600
2024-02-01,279900
2024-02-01,722300
2024-02-01,158000
2024-02-01,815000
2024-02-01,354800
2024-02-01,351600
2024-02-01,221900
2024-02-01,420100
2024-02-01,245100
2024-02-01,240100
2024-02-01,246700
2024-02-01,243200
2024-02-01,243800
2024-02-01,486400
2024-02-01,281000
2024-02-01,555100
2024-02-01,158900
2024-02-01,307300
2024-02-01,584500
2024-02-01,360100
2024-02-01,210500
2024-02-01,276300
2024-02-01,379400
2024-02-01,225900
2024-02-01,251000
2024-02-01,278800
2024-02-01,499300
2024-02-01,247100
2024-02-01,281600
2024-02-01,209200
2024-02-01,582800
2024-02-01,265500
2024-02-01,285800
2024-02-01,348700
2024-02-01,382300
2024-02-01,584500
2024-02-01,312400
2024-02-01,260800
2024-02-01,408100
2024-02-01,245600
2024-02-01,316700
2024-02-01,343400
2024-02-01,446900
2024-02-01,330700
2024-02-01,1012000
2024-02-01,332400
2024-02-01,620800
2024-02-01,495600
2024-02-01,401200
2024-02-01,293700
2024-02-01,261200
2024-02-01,351800
2024-02-01,576500
2024-02-01,227800
2024-02-01,362200
2024-02-01,1100000
2024-02-01,840600
2024-02-01,197300
2024-02-01,272400
2024-02-01,331400
2024-02-01,411700
2024-02-01,340700
2024-02-01,476700
2024-02-01,342000
2024-02-01,182700
2024-02-01,501800
2024-02-01,539400
2024-02-01,371600
2024-02-01,430700
2024-02-01,156100
2024-02-01,478300
2024-02-01,282300
2024-02-01,266300
2024-02-01,187100
2024-02-01,311200
2024-02-01,239600
2024-02-01,271200
2024-02-01,338400
2024-02-01,556100
2024-02-01,259300
2024-02-01,251200
2024-02-01,520400
2024-02-01,478300
2024-02-01,420300
2024-02-01,694400
2024-02-01,377400
2024-02-01,134300
2024-02-01,340200
2024-02-01,371500
2024-02-01,488400
2024-02-01,252300
2024-02-01,677500
2024-02-01,320000
2024-02-01,597800
2024-02-01,241400
2024-02-01,411400
2024-02-01,617500
2024-02-01,297600
2024-02-01,493900
2024-02-01,673300
2024-02-01,375500
2024-02-01,609600
2024-02-01,381400
2024-02-01,314700
2024-02-01,264900
2024-02-01,1578300
2024-02-01,327700
2024-02-01,246000
2024-02-01,784200
2024-02-01,482600
2024-02-01,342300
2024-02-01,200400
2024-02-01,336000
2024-02-01,211300
2024-02-01,462600
2024-02-01,446300
2024-02-01,420100
2024-02-01,302600
2024-02-01,423800
2024-02-01,533900
2024-02-01,316300
2024-02-01,410300
2024-02-01,169900
2024-02-01,280200
2024-02-01,428500
